Symbol,Date,Close
AAPL,2012-1-3,14.69
AAPL,2012-1-4,14.77
AAPL,2012-1-5,14.93
AAPL,2012-1-6,15.09
AAPL,2012-1-9,15.06
AAPL,2012-1-10,15.12
AAPL,2012-1-11,15.09
AAPL,2012-1-12,15.05
AAPL,2012-1-13,14.99
AAPL,2012-1-17,15.17
AAPL,2012-1-18,15.33
AAPL,2012-1-19,15.28
AAPL,2012-1-20,15.01
AAPL,2012-1-23,15.26
AAPL,2012-1-24,15.01
AAPL,2012-1-25,15.95
AAPL,2012-1-26,15.88
AAPL,2012-1-27,15.97
AAPL,2012-1-30,16.18
AAPL,2012-1-31,16.3
AAPL,2012-2-1,16.29
AAPL,2012-2-2,16.25
AAPL,2012-2-3,16.42
AAPL,2012-2-6,16.57
AAPL,2012-2-7,16.74
AAPL,2012-2-8,17.02
AAPL,2012-2-9,17.61
AAPL,2012-2-10,17.62
AAPL,2012-2-13,17.95
AAPL,2012-2-14,18.2
AAPL,2012-2-15,17.77
AAPL,2012-2-16,17.94
AAPL,2012-2-17,17.93
AAPL,2012-2-21,18.39
AAPL,2012-2-22,18.32
AAPL,2012-2-23,18.44
AAPL,2012-2-24,18.66
AAPL,2012-2-27,18.78
AAPL,2012-2-28,19.12
AAPL,2012-2-29,19.37
AAPL,2012-3-1,19.45
AAPL,2012-3-2,19.47
AAPL,2012-3-5,19.04
AAPL,2012-3-6,18.94
AAPL,2012-3-7,18.95
AAPL,2012-3-8,19.36
AAPL,2012-3-9,19.47
AAPL,2012-3-12,19.71
AAPL,2012-3-13,20.29
AAPL,2012-3-14,21.06
AAPL,2012-3-15,20.91
AAPL,2012-3-16,20.91
AAPL,2012-3-19,21.47
AAPL,2012-3-20,21.64
AAPL,2012-3-21,21.52
AAPL,2012-3-22,21.41
AAPL,2012-3-23,21.29
AAPL,2012-3-26,21.68
AAPL,2012-3-27,21.95
AAPL,2012-3-28,22.06
AAPL,2012-3-29,21.78
AAPL,2012-3-30,21.41
AAPL,2012-4-2,22.09
AAPL,2012-4-3,22.48
AAPL,2012-4-4,22.3
AAPL,2012-4-5,22.63
AAPL,2012-4-9,22.72
AAPL,2012-4-10,22.44
AAPL,2012-4-11,22.36
AAPL,2012-4-12,22.24
AAPL,2012-4-13,21.62
AAPL,2012-4-16,20.72
AAPL,2012-4-17,21.78
AAPL,2012-4-18,21.73
AAPL,2012-4-19,20.98
AAPL,2012-4-20,20.46
AAPL,2012-4-23,20.42
AAPL,2012-4-24,20.01
AAPL,2012-4-25,21.79
AAPL,2012-4-26,21.7
AAPL,2012-4-27,21.54
AAPL,2012-4-30,20.86
AAPL,2012-5-1,20.79
AAPL,2012-5-2,20.93
AAPL,2012-5-3,20.78
AAPL,2012-5-4,20.19
AAPL,2012-5-7,20.34
AAPL,2012-5-8,20.29
AAPL,2012-5-9,20.33
AAPL,2012-5-10,20.38
AAPL,2012-5-11,20.24
AAPL,2012-5-14,19.94
AAPL,2012-5-15,19.76
AAPL,2012-5-16,19.5
AAPL,2012-5-17,18.93
AAPL,2012-5-18,18.94
AAPL,2012-5-21,20.05
AAPL,2012-5-22,19.89
AAPL,2012-5-23,20.38
AAPL,2012-5-24,20.19
AAPL,2012-5-25,20.08
AAPL,2012-5-29,20.44
AAPL,2012-5-30,20.68
AAPL,2012-5-31,20.63
AAPL,2012-6-1,20.04
AAPL,2012-6-4,20.15
AAPL,2012-6-5,20.1
AAPL,2012-6-6,20.41
AAPL,2012-6-7,20.42
AAPL,2012-6-8,20.73
AAPL,2012-6-11,20.4
AAPL,2012-6-12,20.58
AAPL,2012-6-13,20.43
AAPL,2012-6-14,20.41
AAPL,2012-6-15,20.5
AAPL,2012-6-18,20.92
AAPL,2012-6-19,20.98
AAPL,2012-6-20,20.92
AAPL,2012-6-21,20.63
AAPL,2012-6-22,20.79
AAPL,2012-6-25,20.38
AAPL,2012-6-26,20.43
AAPL,2012-6-27,20.52
AAPL,2012-6-28,20.32
AAPL,2012-6-29,20.86
AAPL,2012-7-2,21.16
AAPL,2012-7-3,21.41
AAPL,2012-7-5,21.78
AAPL,2012-7-6,21.64
AAPL,2012-7-9,21.92
AAPL,2012-7-10,21.72
AAPL,2012-7-11,21.59
AAPL,2012-7-12,21.39
AAPL,2012-7-13,21.61
AAPL,2012-7-16,21.68
AAPL,2012-7-17,21.68
AAPL,2012-7-18,21.65
AAPL,2012-7-19,21.94
AAPL,2012-7-20,21.58
AAPL,2012-7-23,21.57
AAPL,2012-7-24,21.46
AAPL,2012-7-25,20.53
AAPL,2012-7-26,20.53
AAPL,2012-7-27,20.9
AAPL,2012-7-30,21.25
AAPL,2012-7-31,21.81
AAPL,2012-8-1,21.67
AAPL,2012-8-2,21.71
AAPL,2012-8-3,21.99
AAPL,2012-8-6,22.23
AAPL,2012-8-7,22.18
AAPL,2012-8-8,22.14
AAPL,2012-8-9,22.17
AAPL,2012-8-10,22.2
AAPL,2012-8-13,22.5
AAPL,2012-8-14,22.56
AAPL,2012-8-15,22.53
AAPL,2012-8-16,22.73
AAPL,2012-8-17,23.15
AAPL,2012-8-20,23.76
